strategy,observed_h,cutoff_reached,end_soc_pct,mean_battery_power_mW,composite_qos
High QoS,40,False,74.97599999997149,48.90473141131987,1.0
Balanced,40,False,91.63866666666519,16.960986632986987,0.3333333333333333
Survival,40,False,95.63766666666548,8.980751987216772,0.18181818181818182
Adaptive,40,False,74.97599999997149,48.90473141131987,1.0
