strategy,runtime_h,runtime_extension %,sample_count,tx_count,sampling_qos,communication_qos,composite_qos,average_power_W,MAE,RMSE,relative_error,overestimation_rate,runtime extension %
Fixed HIGH_QoS,40.0,0.0,26400,2400,1.0000000000000002,1.0,1.0,0.045043200000000005,,,,,
Fixed BALANCED,40.0,0.0,8800,800,0.33333333333333337,0.3333333333333333,0.33333333333333337,0.015050400000000002,,,,,
Fixed SURVIVAL,40.0,0.0,4320,480,0.16363636363636366,0.2,0.18181818181818182,0.007852200000000002,,,,,
Adaptive (C-based),9.9975,,6600,600,1.000250062515629,1.000250062515629,1.000250062515629,0.7176634011546965,185776357.36063313,235516092.6617978,75.22258748876925,0.19979967168414903,-75.00625
