timestamp_s,node_state,sampling_interval_s,transmission_interval_s,current_load_A,voltage_bus_V,power_load_W,battery_soc,battery_ocv_V,battery_terminal_voltage_V,battery_current_A,battery_power_W,energy_used_Wh,energy_remaining_Wh,cutoff_reached
0.0,LORA_TX,30.0,120.0,0.12,3.6,0.432,1.0,4.2,4.19784,0.12,0.5037408,0.0,7.21319998677356,False
1.0,SAMPLING,30.0,120.0,0.008,3.6,0.028800000000000003,0.9999988888888889,4.199995555555556,4.199851555555556,0.008,0.03359881244444445,9.333003456790125e-06,7.213191972106908,False
2.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999988868055556,4.199995547222223,4.199995277222222,1.5e-05,6.299992915833333e-05,9.350503437111884e-06,7.213191957079409,False
3.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999988847222223,4.199995538888889,4.199995268888889,1.5e-05,6.299992903333335e-05,9.368003417398921e-06,7.213191942051909,False
4.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.999998882638889,4.199995530555556,4.199995260555556,1.5e-05,6.299992890833335e-05,9.385503397651237e-06,7.213191927024409,False
5.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999988805555557,4.199995522222223,4.199995252222223,1.5e-05,6.299992878333335e-05,9.403003377868829e-06,7.213191911996909,False
6.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999988784722225,4.19999551388889,4.19999524388889,1.5e-05,6.299992865833335e-05,9.4205033580517e-06,7.21319189696941,False
7.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999988763888892,4.199995505555557,4.199995235555557,1.5e-05,6.299992853333335e-05,9.438003338199847e-06,7.213191881941911,False
8.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999988743055559,4.199995497222224,4.199995227222224,1.5e-05,6.299992840833335e-05,9.455503318313273e-06,7.213191866914411,False
9.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999988722222226,4.199995488888891,4.1999952188888905,1.5e-05,6.299992828333336e-05,9.473003298391978e-06,7.213191851886911,False
10.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999988701388893,4.1999954805555575,4.199995210555557,1.5e-05,6.299992815833336e-05,9.490503278435959e-06,7.213191836859411,False
11.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.999998868055556,4.199995472222224,4.199995202222224,1.5e-05,6.299992803333337e-05,9.508003258445218e-06,7.213191821831912,False
12.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999988659722228,4.199995463888891,4.199995193888891,1.5e-05,6.299992790833337e-05,9.525503238419755e-06,7.213191806804413,False
13.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999988638888895,4.199995455555558,4.199995185555558,1.5e-05,6.299992778333337e-05,9.54300321835957e-06,7.213191791776913,False
14.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999988618055562,4.199995447222225,4.199995177222225,1.5e-05,6.299992765833338e-05,9.560503198264662e-06,7.213191776749413,False
15.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999988597222229,4.199995438888892,4.199995168888892,1.5e-05,6.299992753333338e-05,9.578003178135032e-06,7.213191761721913,False
16.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999988576388896,4.199995430555559,4.1999951605555585,1.5e-05,6.299992740833338e-05,9.59550315797068e-06,7.213191746694414,False
17.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999988555555563,4.1999954222222255,4.199995152222225,1.5e-05,6.299992728333338e-05,9.613003137771607e-06,7.213191731666914,False
18.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999988534722231,4.199995413888892,4.199995143888892,1.5e-05,6.299992715833338e-05,9.63050311753781e-06,7.213191716639415,False
19.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999988513888898,4.199995405555559,4.199995135555559,1.5e-05,6.299992703333338e-05,9.648003097269292e-06,7.213191701611915,False
20.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999988493055565,4.199995397222226,4.199995127222226,1.5e-05,6.29999269083334e-05,9.665503076966051e-06,7.213191686584415,False
21.0,SLEEP,30.0,120.0,1.5e-05,3.6,5.4000000000000005e-05,0.9999988472222232,4.199995388888893,4.199995118888893,1.5e-05,6.29999267833334e-05,9.683003056628088e-06,7.213191671556916,False
